,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2024-02-08 16:14:36,2024-02-08 16:14:35,461,25.0,2144,382,245,18.0,34.0,15049,2024-02-08 16:14:41,2024.02.08,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,45,23,True,1,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2024-02-08 14:08:45,2024-02-08 14:08:44,325,26.0,222,87,182,4.0,5.0,3303,2024-02-08 14:08:50,2024.02.08,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,12,18,True,1,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2024-02-08 17:09:28,2024-02-08 17:09:27,308,26.0,160,54,183,,3.0,2125,2024-02-08 17:09:33,2024.02.08,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,14,18,True,1,2.0,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2024-02-08 16:14:45,2024-02-08 16:14:44,305,26.0,42,24,178,1.0,5.0,872,2024-02-08 16:14:50,2024.02.08,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7,16,True,1,,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2024-02-08 16:14:22,2024-02-08 16:14:21,311,29.0,69,24,182,1.0,3.0,787,2024-02-08 16:14:29,2024.02.08,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",13,16,True,2,,
5,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22,2024-02-05 13:45:35,2024-02-01 21:04:01,253,26.0,37,13,170,5.0,13.0,678,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,24,15,True,1,5.0,mkdocs/catalog
6,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2024-02-07 22:45:06,2024-02-07 22:45:06,248,22.0,36,14,122,3.0,,180,2024-02-07 22:45:12,2024.02.07,98.0,A ranked list of awesome open-source crypto projects. Updated weekly.,5,15,True,1,3.0,
7,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2024-02-08 16:14:55,2024-02-08 16:14:54,340,26.0,54,11,166,1.0,1.0,561,2024-02-08 16:14:59,2024.02.08,100.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,6,14,True,3,-1.0,
8,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2024-02-05 12:05:15,2021-05-03 18:03:14,111,,111,16,124,9.0,4.0,846,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,,
9,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2024-02-07 18:24:42,2024-02-07 18:23:17,751,89.0,15,6,22,,2.0,277,,,,Ranked list of awesome digital gardens / second brains.,14,12,True,3,3.0,
10,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2024-02-02 11:50:16,2024-02-02 11:50:16,164,8.0,3,10,112,,,204,2024-02-01 09:30:50,2024.02.01,27.0,A ranked list of awesome machine learning Rust libraries.,2,12,True,3,5.0,
11,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,CC-BY-SA-4.0,2022-01-23 23:37:02,2024-02-07 20:43:14,2024-02-07 20:22:12,663,89.0,4,5,757,,,40,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",4,12,True,1,,
12,best-of-ml-julia,e-tornike/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,2,2,38,,,11,2021-05-10 14:35:56,2021.05.10,3.0,A ranked list of awesome machine learning Julia libraries.,2,5,False,3,,
