,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2023-10-19 17:35:09,2023-10-19 17:35:08,432,32.0,2081,381,228,15.0,33.0,14558,2023-10-19 17:35:15,2023.10.19,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,44,24,True,1,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2023-10-19 17:34:47,2023-10-19 17:34:46,293,28.0,221,86,166,4.0,4.0,3195,2023-10-19 17:34:53,2023.10.19,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,12,19,True,1,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2023-10-19 17:34:28,2023-10-19 17:34:27,275,24.0,151,52,164,1.0,2.0,2036,2023-10-19 17:34:34,2023.10.19,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,12,18,True,1,2.0,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2023-10-19 17:35:20,2023-10-19 17:35:19,275,26.0,40,24,162,1.0,5.0,821,2023-10-19 17:35:26,2023.10.19,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7,17,True,1,,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2023-10-19 17:34:58,2023-10-19 17:34:57,275,27.0,68,25,163,1.0,2.0,740,2023-10-19 17:35:04,2023.10.19,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",12,16,True,2,,
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2023-10-19 17:35:31,2023-10-19 17:35:30,308,26.0,46,11,150,,1.0,508,2023-10-19 17:35:38,2023.10.19,100.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,6,15,True,3,,
6,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22,2023-10-18 14:58:52,2023-10-18 14:58:52,216,30.0,29,11,130,4.0,11.0,476,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,18,15,True,1,5.0,mkdocs/catalog
7,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2023-10-18 23:11:52,2023-10-18 23:11:52,220,25.0,29,13,106,3.0,,146,2023-10-18 23:12:07,2023.10.18,84.0,A ranked list of awesome open-source crypto projects. Updated weekly.,5,15,True,1,3.0,
8,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2023-10-16 12:05:13,2021-05-03 18:03:14,111,,100,14,107,9.0,4.0,750,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,,
9,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2023-10-18 18:26:05,2023-10-18 18:26:04,639,89.0,14,7,22,,2.0,230,,,,Ranked list of awesome digital gardens / second brains.,14,12,True,3,3.0,
