,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2022-12-29 15:20:07,2022-12-17 03:24:41,332,22.0,1801,349,172,8.0,30.0,12130,2022-12-17 03:24:50,2022.12.15,77.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,35,24,True,1,1.0
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2022-12-29 13:44:39,2022-12-16 16:06:15,204,20.0,192,82,119,2.0,4.0,2715,2022-12-16 16:06:24,2022.12.15,71.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,9,19,True,1,1.0
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2022-12-29 16:37:13,2022-12-17 03:23:36,188,22.0,129,52,118,,2.0,1761,2022-12-17 03:23:42,2022.12.15,69.0,A ranked list of awesome python libraries for web development. Updated weekly.,9,17,True,1,1.0
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2022-12-29 14:42:39,2022-12-17 03:24:18,186,22.0,33,21,116,1.0,5.0,638,2022-12-17 03:24:25,2022.12.15,68.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,5,17,True,1,2.0
4,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2022-12-29 15:31:40,2022-12-17 03:25:29,223,22.0,26,8,108,1.0,,363,2022-12-17 03:25:37,2022.12.15,70.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,5,16,True,3,
5,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2022-12-29 14:36:16,2022-12-17 03:23:58,188,23.0,54,20,119,,2.0,572,2022-12-17 03:24:06,2022.12.15,75.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",10,15,True,2,
6,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2022-12-28 19:07:31,2022-12-17 03:25:08,122,22.0,15,7,58,,,78,2022-12-17 03:25:17,2022.12.14,43.0,A ranked list of awesome open-source crypto projects. Updated weekly.,3,13,True,1,
7,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2022-12-26 12:05:00,2021-05-03 18:03:14,111,,73,12,65,6.0,4.0,513,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,
8,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22,2022-12-22 22:27:23,2022-12-22 22:27:23,134,12.0,4,4,55,1.0,2.0,107,2022-12-22 22:27:35,2022.12.22,40.0,A ranked list of awesome MkDocs projects and plugins.,4,12,True,1,2.0
9,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2022-12-28 18:25:06,2022-12-28 18:25:06,332,94.0,8,2,19,,1.0,87,,,,Ranked list of awesome digital gardens / second brains.,11,10,True,3,
