,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2023-12-28 17:08:50,2023-12-28 17:08:50,450,24.0,2136,383,238,18.0,33.0,14919,2023-12-28 17:08:56,2023.12.28,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,44,24,True,1,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2023-12-28 17:08:15,2023-12-28 17:08:15,313,27.0,221,88,176,4.0,4.0,3262,2023-12-28 17:08:21,2023.12.28,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,12,19,True,1,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2023-12-28 17:09:02,2023-12-28 17:09:01,295,26.0,155,51,176,,3.0,2090,2023-12-28 17:09:09,2023.12.28,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,14,19,True,1,3.0,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2023-12-28 17:08:27,2023-12-28 17:08:26,293,24.0,41,24,172,1.0,5.0,853,2023-12-28 17:08:34,2023.12.28,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7,17,True,1,,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2023-12-28 17:08:39,2023-12-28 17:08:38,297,29.0,69,24,175,1.0,3.0,764,2023-12-28 17:08:45,2023.12.28,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",13,17,True,2,3.0,
5,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2023-12-28 17:08:04,2023-12-28 17:08:04,238,23.0,34,15,116,3.0,,170,2023-12-28 17:08:11,2023.12.27,93.0,A ranked list of awesome open-source crypto projects. Updated weekly.,5,16,True,1,4.0,
6,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22,2023-12-27 17:59:07,2023-12-21 18:41:23,242,33.0,35,12,160,4.0,13.0,609,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,22,15,True,1,5.0,mkdocs/catalog
7,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2023-12-28 17:09:13,2023-12-28 17:09:12,328,26.0,52,11,160,1.0,1.0,537,2023-12-28 17:09:20,2023.12.28,100.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,6,15,True,3,,
8,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2023-12-25 12:04:56,2021-05-03 18:03:14,111,,105,15,117,9.0,4.0,807,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,,
9,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2023-12-27 18:24:10,2023-12-27 18:24:09,709,89.0,15,7,22,,2.0,255,,,,Ranked list of awesome digital gardens / second brains.,14,12,True,3,,
