,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2023-11-02 14:56:20,2023-10-26 16:35:53,434,28.0,2083,384,230,16.0,33.0,14608,2023-10-26 16:36:02,2023.10.26,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,44,24,True,1,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2023-11-02 14:16:32,2023-11-02 14:16:32,297,28.0,222,87,168,4.0,4.0,3212,2023-11-02 14:17:03,2023.11.02,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,12,18,True,1,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2023-11-02 16:26:01,2023-10-26 16:36:28,277,22.0,152,52,166,1.0,2.0,2043,2023-10-26 16:36:35,2023.10.26,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,12,18,True,1,2.0,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2023-11-02 14:21:34,2023-10-26 16:35:00,277,24.0,40,24,164,1.0,5.0,831,2023-10-26 16:35:08,2023.10.26,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7,17,True,1,,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2023-11-02 17:56:46,2023-11-02 17:56:45,280,28.0,69,25,166,1.0,3.0,747,2023-11-02 17:57:09,2023.11.02,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",13,16,True,2,,
5,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22,2023-10-26 19:04:12,2023-10-26 19:04:11,218,26.0,30,11,132,4.0,11.0,517,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,18,15,True,1,5.0,mkdocs/catalog
6,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2023-11-02 15:19:36,2023-10-26 16:36:11,310,24.0,46,11,152,1.0,1.0,511,2023-10-26 16:36:18,2023.10.26,100.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,6,15,True,3,,
7,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2023-11-02 17:56:24,2023-11-02 17:56:24,224,25.0,29,15,108,3.0,,150,2023-11-02 17:56:35,2023.11.01,86.0,A ranked list of awesome open-source crypto projects. Updated weekly.,5,15,True,1,3.0,
8,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2023-10-30 12:05:50,2021-05-03 18:03:14,111,,103,14,109,9.0,4.0,759,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,,
9,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2023-11-01 18:25:14,2023-11-01 18:25:14,653,89.0,14,7,22,,2.0,238,,,,Ranked list of awesome digital gardens / second brains.,14,12,True,3,3.0,
