,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2023-06-22 14:39:04,2023-06-15 16:10:03,389,28.0,2007,375,204,15.0,31.0,13916,2023-06-15 16:10:11,2023.06.15,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,38,23,True,1,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2023-06-22 13:30:53,2023-06-15 13:52:43,255,25.0,211,88,147,3.0,4.0,3037,2023-06-15 13:52:52,2023.06.15,95.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,10,18,True,1,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2023-06-22 16:30:53,2023-06-15 18:34:57,241,26.0,147,53,147,1.0,2.0,1934,2023-06-15 18:35:07,2023.06.15,94.0,A ranked list of awesome python libraries for web development. Updated weekly.,12,16,True,1,,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2023-06-22 14:22:13,2023-06-15 16:09:35,239,26.0,38,24,145,1.0,5.0,740,2023-06-15 16:09:41,2023.06.15,92.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7,16,True,1,,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2023-06-22 14:18:55,2023-06-15 16:09:47,238,24.0,61,23,145,,2.0,678,2023-06-15 16:09:57,2023.06.15,99.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",11,15,True,2,,
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2023-06-22 15:22:55,2023-06-15 16:10:17,272,23.0,38,10,133,1.0,,446,2023-06-15 16:10:26,2023.06.15,94.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,6,15,True,3,,
6,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22,2023-06-15 18:22:41,2023-06-15 18:22:40,177,30.0,11,10,94,2.0,5.0,299,2023-06-15 18:22:58,2023.06.15,66.0,A list of awesome MkDocs projects and plugins.,6,14,True,1,mkdocs/catalog,4.0
7,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2023-06-21 19:58:21,2023-06-15 11:08:17,185,23.0,21,11,88,3.0,,127,2023-06-15 11:08:24,2023.06.14,66.0,A ranked list of awesome open-source crypto projects. Updated weekly.,4,14,True,1,,2.0
8,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2023-06-11 08:07:19,2023-06-11 08:07:19,152,13.0,3,8,104,,,153,2023-05-01 15:29:45,2023.05.01,25.0,A ranked list of awesome machine learning Rust libraries.,2,13,True,3,,6.0
9,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2023-06-19 12:05:53,2021-05-03 18:03:14,111,,89,14,90,8.0,4.0,671,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,,
