,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2024-01-18 15:41:01,2024-01-18 15:41:00,456,24.0,2140,385,241,18.0,33.0,14981,2024-01-18 15:41:06,2024.01.18,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,44,23,True,1,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2024-01-18 15:41:34,2024-01-18 15:41:34,319,26.0,222,88,179,4.0,5.0,3277,2024-01-18 15:41:39,2024.01.18,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,12,18,True,1,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2024-01-18 16:45:05,2024-01-11 18:27:24,299,24.0,157,51,179,,3.0,2101,2024-01-11 18:27:30,2024.01.11,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,14,18,True,1,2.0,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2024-01-18 15:41:16,2024-01-18 15:41:15,299,24.0,42,24,175,1.0,5.0,867,2024-01-18 15:41:21,2024.01.18,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7,16,True,1,,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2024-01-18 15:41:25,2024-01-18 15:41:24,305,29.0,69,24,179,1.0,3.0,776,2024-01-18 15:41:30,2024.01.18,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",13,16,True,2,,
5,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22,2024-01-18 11:03:39,2024-01-18 11:03:39,249,32.0,36,12,165,5.0,13.0,641,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,24,15,True,1,5.0,mkdocs/catalog
6,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2024-01-17 22:33:40,2024-01-17 22:33:40,242,22.0,35,15,119,3.0,,174,2024-01-17 22:33:45,2024.01.17,95.0,A ranked list of awesome open-source crypto projects. Updated weekly.,5,15,True,1,3.0,
7,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2024-01-18 15:50:02,2024-01-18 15:50:01,334,26.0,53,11,163,1.0,1.0,545,2024-01-18 15:50:07,2024.01.18,100.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,6,14,True,3,-1.0,
8,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2024-01-15 12:05:21,2021-05-03 18:03:14,111,,108,16,120,9.0,4.0,823,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,,
9,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2024-01-17 18:27:11,2024-01-17 18:25:47,730,89.0,15,6,22,,2.0,272,,,,Ranked list of awesome digital gardens / second brains.,14,12,True,3,3.0,
