,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2023-01-05 16:20:14,2023-01-05 16:20:12,336,24.0,1812,351,173,8.0,31.0,12228,2023-01-05 16:20:19,2023.01.05,79.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,35,23,True,1,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2023-01-05 16:19:08,2023-01-05 16:19:08,208,22.0,192,84,120,2.0,4.0,2739,2023-01-05 16:19:14,2023.01.05,73.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,9,18,True,1,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2023-01-05 16:38:27,2022-12-31 20:48:15,190,22.0,131,52,119,,2.0,1773,2022-12-31 20:48:25,2022.12.29,70.0,A ranked list of awesome python libraries for web development. Updated weekly.,9,17,True,1,1.0
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2023-01-05 16:19:29,2023-01-05 16:19:28,190,24.0,34,21,117,1.0,5.0,644,2023-01-05 16:20:05,2023.01.05,70.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,5,16,True,1,1.0
4,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2023-01-05 16:20:25,2023-01-05 16:20:24,227,24.0,27,8,109,1.0,,364,2023-01-05 16:20:30,2023.01.05,72.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,5,15,True,3,
5,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2023-01-05 16:19:19,2023-01-05 16:19:18,192,25.0,55,20,120,,2.0,580,2023-01-05 16:19:24,2023.01.05,77.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",10,14,True,2,
6,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2023-01-02 12:05:11,2021-05-03 18:03:14,111,,74,12,66,6.0,4.0,518,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,
7,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22,2022-12-30 10:33:42,2022-12-30 10:33:42,135,12.0,4,4,56,1.0,2.0,112,2022-12-30 10:33:53,2022.12.30,41.0,A ranked list of awesome MkDocs projects and plugins.,4,12,True,1,2.0
8,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2023-01-05 16:19:00,2023-01-05 16:18:56,126,24.0,15,7,59,,,79,2023-01-05 16:19:04,2023.01.04,45.0,A ranked list of awesome open-source crypto projects. Updated weekly.,3,12,True,1,
9,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2023-01-04 18:26:56,2023-01-04 18:26:56,339,91.0,8,2,19,,1.0,87,,,,Ranked list of awesome digital gardens / second brains.,11,10,True,3,1.0
