,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2023-03-23 16:42:27,2023-03-23 16:42:25,361,29.0,1926,366,185,13.0,31.0,13075,2023-03-23 16:42:42,2023.03.23,90.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,36,23,True,1,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2023-03-23 16:42:59,2023-03-23 16:42:58,230,26.0,195,82,133,2.0,4.0,2885,2023-03-23 16:43:06,2023.03.23,84.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,9,18,True,1,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2023-03-23 16:41:25,2023-03-23 16:41:25,215,27.0,141,52,132,1.0,2.0,1842,2023-03-23 16:42:20,2023.03.23,82.0,A ranked list of awesome python libraries for web development. Updated weekly.,10,16,True,1,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2023-03-23 15:33:10,2023-03-23 15:33:08,213,27.0,36,21,130,1.0,5.0,689,2023-03-23 15:33:15,2023.03.23,81.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,6,16,True,1,1.0
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2023-03-23 15:34:29,2023-03-23 15:34:26,214,26.0,58,22,132,,2.0,624,2023-03-23 15:34:35,2023.03.23,87.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",11,15,True,2,
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2023-03-23 16:42:49,2023-03-23 16:42:47,249,26.0,35,8,120,1.0,,403,2023-03-23 16:42:55,2023.03.23,83.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,5,15,True,3,
6,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2023-03-22 19:57:10,2023-03-22 19:57:08,162,40.0,19,9,75,3.0,,101,2023-03-22 19:57:16,2023.03.22,56.0,A ranked list of awesome open-source crypto projects. Updated weekly.,3,13,True,1,
7,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2023-03-20 12:05:16,2021-05-03 18:03:14,111,,77,13,77,7.0,4.0,588,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,
8,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22,2023-03-16 18:08:58,2023-03-16 18:08:58,146,12.0,8,6,67,1.0,2.0,181,2023-03-16 18:09:07,2023.03.16,52.0,A ranked list of awesome MkDocs projects and plugins.,4,12,True,1,2.0
9,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,CC-BY-SA-4.0,2022-01-23 23:37:02,2023-03-22 23:01:38,2023-03-22 20:32:30,342,89.0,3,3,436,,,26,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",4,12,True,1,2.0
