,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2022-12-08 15:23:19,2022-12-01 22:37:35,328,24.0,1791,347,167,6.0,30.0,12021,2022-12-01 22:37:47,2022.12.01,75.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,35,23,True,1,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2022-12-08 13:38:49,2022-12-01 22:37:59,200,22.0,188,82,116,2.0,4.0,2656,2022-12-01 22:38:06,2022.12.01,69.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,9,18,True,1,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2022-12-08 16:36:23,2022-12-01 22:35:34,184,25.0,132,52,115,,2.0,1746,2022-12-01 22:35:44,2022.12.01,67.0,A ranked list of awesome python libraries for web development. Updated weekly.,9,16,True,1,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2022-12-08 14:39:01,2022-12-01 22:39:22,182,25.0,32,21,113,1.0,5.0,628,2022-12-01 22:39:29,2022.12.01,66.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,5,16,True,1,1.0
4,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2022-12-08 15:33:08,2022-12-01 22:36:03,219,27.0,27,8,105,1.0,,356,2022-12-01 22:36:12,2022.12.01,68.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,5,15,True,3,
5,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2022-12-08 14:41:19,2022-12-01 22:38:18,184,25.0,54,20,116,,2.0,561,2022-12-01 22:38:26,2022.12.01,73.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",10,14,True,2,
6,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2022-12-07 19:13:20,2022-12-01 22:38:44,118,24.0,16,7,55,,,71,2022-12-01 22:38:52,2022.11.30,41.0,A ranked list of awesome open-source crypto projects. Updated weekly.,3,13,True,1,1.0
7,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2022-12-05 12:04:55,2021-05-03 18:03:14,111,,68,12,61,6.0,4.0,509,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,
8,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22,2022-12-01 18:12:39,2022-12-01 18:12:39,131,15.0,3,4,52,1.0,2.0,95,2022-12-01 18:13:01,2022.12.01,37.0,A ranked list of awesome MkDocs projects and plugins.,4,11,True,1,1.0
9,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2022-12-07 18:28:04,2022-12-07 18:28:03,311,94.0,9,2,19,,1.0,86,,,,Ranked list of awesome digital gardens / second brains.,11,10,True,3,1.0
