,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2023-02-23 15:26:01,2023-02-16 15:24:33,351,25.0,1892,357,181,10.0,31.0,12783,2023-02-16 15:24:42,2023.02.16,85.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,36,23,True,1,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2023-02-23 13:50:40,2023-02-16 15:25:24,220,22.0,196,84,127,2.0,4.0,2834,2023-02-16 15:25:29,2023.02.16,79.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,9,18,True,1,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2023-02-23 16:40:42,2023-02-17 18:07:46,205,23.0,138,51,128,,2.0,1810,2023-02-17 18:07:52,2023.02.16,77.0,A ranked list of awesome python libraries for web development. Updated weekly.,10,16,True,1,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2023-02-23 14:41:19,2023-02-16 15:25:14,202,22.0,35,21,125,1.0,5.0,675,2023-02-16 15:25:20,2023.02.16,76.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,5,16,True,1,1.0
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2023-02-23 14:44:00,2023-02-16 15:25:03,202,20.0,55,21,127,,2.0,603,2023-02-16 15:25:11,2023.02.16,82.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",10,15,True,2,1.0
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2023-02-23 15:36:29,2023-02-16 15:36:35,239,22.0,32,9,116,1.0,,394,2023-02-16 15:36:44,2023.02.16,78.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,5,15,True,3,
6,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2023-02-23 00:04:48,2023-02-23 00:04:47,153,37.0,19,9,71,2.0,,94,2023-02-23 00:04:59,2023.02.22,52.0,A ranked list of awesome open-source crypto projects. Updated weekly.,3,13,True,1,1.0
7,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2023-02-20 12:05:51,2021-05-03 18:03:14,111,,76,12,73,7.0,4.0,566,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,
8,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,CC-BY-SA-4.0,2022-01-23 23:37:02,2023-02-22 20:45:53,2023-02-22 20:20:47,314,88.0,3,3,408,,,22,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",4,12,True,1,2.0
9,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22,2023-02-23 18:04:34,2023-02-16 20:22:42,142,12.0,6,5,63,1.0,2.0,137,2023-02-16 20:22:48,2023.02.16,48.0,A ranked list of awesome MkDocs projects and plugins.,4,11,True,1,
