,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2023-05-25 17:07:16,2023-05-25 15:24:52,380,28.0,1987,375,198,14.0,31.0,13671,2023-05-25 15:24:58,2023.05.25,99.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,37,23,True,1,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2023-05-25 15:24:15,2023-05-25 15:24:15,249,27.0,202,85,143,3.0,4.0,2986,2023-05-25 15:24:21,2023.05.25,92.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,10,18,True,1,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2023-05-25 16:19:37,2023-05-18 17:59:16,231,25.0,145,53,142,1.0,2.0,1903,2023-05-18 17:59:25,2023.05.18,90.0,A ranked list of awesome python libraries for web development. Updated weekly.,10,16,True,1,,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2023-05-25 15:24:34,2023-05-25 15:24:33,233,30.0,38,23,141,1.0,5.0,724,2023-05-25 15:24:39,2023.05.25,89.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7,16,True,1,1.0,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2023-05-25 15:24:25,2023-05-25 15:24:24,232,29.0,61,23,141,,2.0,658,2023-05-25 15:24:30,2023.05.25,96.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",11,15,True,2,,
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2023-05-25 15:24:43,2023-05-25 15:24:42,268,28.0,37,10,130,1.0,,433,2023-05-25 15:24:47,2023.05.25,92.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,6,15,True,3,,
6,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/mkdocs/best-of-mkdocs,https://github.com/mkdocs/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22,2023-05-24 15:39:11,2023-05-24 15:39:11,166,23.0,10,10,84,2.0,2.0,254,2023-05-18 19:46:03,2023.05.18,61.0,A ranked list of awesome MkDocs projects and plugins.,6,13,True,1,3.0,mkdocs/best-of-mkdocs
7,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2023-05-24 23:09:05,2023-05-24 23:09:05,179,26.0,19,11,84,3.0,,118,2023-05-24 23:09:22,2023.05.24,63.0,A ranked list of awesome open-source crypto projects. Updated weekly.,4,13,True,1,,
8,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2023-05-22 12:05:10,2021-05-03 18:03:14,111,,85,14,86,8.0,4.0,642,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,,
9,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2023-05-24 18:24:50,2023-05-24 18:24:49,492,93.0,13,3,22,,2.0,170,,,,Ranked list of awesome digital gardens / second brains.,14,12,True,3,3.0,
10,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2023-05-11 08:49:39,2023-05-11 08:49:39,150,15.0,3,8,103,,,147,2023-05-01 15:29:45,2023.05.01,25.0,A ranked list of awesome machine learning Rust libraries.,2,12,True,3,5.0,
