,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2023-01-12 15:24:23,2023-01-05 16:20:12,336,22.0,1847,355,174,9.0,31.0,12431,2023-01-05 16:20:19,2023.01.05,79.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,35,23,True,1,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2023-01-12 13:45:26,2023-01-05 16:19:08,208,20.0,193,84,121,2.0,4.0,2759,2023-01-05 16:19:14,2023.01.05,73.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,9,18,True,1,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2023-01-12 16:49:30,2023-01-08 21:27:31,192,22.0,133,52,121,,2.0,1782,2023-01-08 21:27:37,2023.01.05,71.0,A ranked list of awesome python libraries for web development. Updated weekly.,9,16,True,1,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2023-01-12 14:43:53,2023-01-05 16:19:28,190,22.0,35,21,118,1.0,5.0,652,2023-01-05 16:20:05,2023.01.05,70.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,5,16,True,1,1.0
4,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2023-01-12 15:33:20,2023-01-05 16:20:24,227,22.0,28,8,110,1.0,,368,2023-01-05 16:20:30,2023.01.05,72.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,5,15,True,3,
5,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2023-01-12 14:44:33,2023-01-05 16:19:18,192,23.0,55,20,121,,2.0,585,2023-01-05 16:19:24,2023.01.05,77.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",10,14,True,2,
6,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2023-01-09 12:05:40,2021-05-03 18:03:14,111,,74,12,67,7.0,4.0,525,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,
7,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2023-01-11 19:55:09,2023-01-11 19:55:09,128,24.0,15,7,60,,,82,2023-01-11 19:55:17,2023.01.11,46.0,A ranked list of awesome open-source crypto projects. Updated weekly.,3,12,True,1,
8,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22,2023-01-12 18:05:18,2023-01-05 19:24:33,136,12.0,4,4,57,1.0,2.0,116,2023-01-05 20:47:54,2023.01.05,42.0,A ranked list of awesome MkDocs projects and plugins.,4,11,True,1,1.0
9,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2023-01-12 16:25:59,2023-01-12 16:25:58,356,101.0,10,2,21,,2.0,97,,,,Ranked list of awesome digital gardens / second brains.,13,10,True,3,1.0
