,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2022-10-27 15:47:06,2022-10-20 22:34:51,316,30.0,1764,347,162,5.0,30.0,11821,2022-10-20 22:34:57,2022.10.20,69.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,35,24,True,1,1.0
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2022-10-27 14:31:39,2022-10-27 14:31:39,192,26.0,176,78,112,2.0,4.0,2543,2022-10-27 14:31:45,2022.10.27,65.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,9,19,True,1,1.0
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2022-10-27 18:00:24,2022-10-27 18:00:23,174,27.0,129,48,110,,2.0,1703,2022-10-27 18:00:29,2022.10.27,62.0,A ranked list of awesome python libraries for web development. Updated weekly.,9,17,True,1,1.0
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2022-10-27 14:58:00,2022-10-20 15:50:10,170,25.0,32,20,108,1.0,5.0,604,2022-10-20 15:50:16,2022.10.20,60.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,5,16,True,1,1.0
4,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2022-10-27 15:49:07,2022-10-20 22:34:40,207,28.0,25,8,99,,,321,2022-10-20 22:34:46,2022.10.20,62.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,5,16,True,3,
5,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2022-10-27 15:07:00,2022-10-20 15:49:59,172,25.0,55,20,110,,2.0,539,2022-10-20 15:50:06,2022.10.20,67.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",10,15,True,2,
6,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2022-10-26 19:33:23,2022-10-19 21:10:31,106,24.0,14,7,49,,,65,2022-10-19 21:10:48,2022.10.19,35.0,A ranked list of awesome open-source crypto projects. Updated weekly.,3,13,True,1,
7,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2022-10-24 12:28:34,2021-05-03 18:03:14,111,,64,12,55,6.0,4.0,489,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,
8,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22,2022-10-27 18:05:22,2022-10-20 21:23:39,125,23.0,3,5,46,1.0,2.0,67,2022-10-20 21:23:47,2022.10.20,31.0,A ranked list of awesome MkDocs projects and plugins.,4,12,True,1,2.0
9,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2022-10-26 18:33:41,2022-10-26 18:33:41,267,95.0,8,2,18,,1.0,79,,,,Ranked list of awesome digital gardens / second brains.,10,10,True,3,
10,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,CC-BY-SA-4.0,2022-01-23 23:37:02,2022-10-26 20:22:10,2022-10-25 20:26:37,195,88.0,3,2,290,,,17,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",4,10,True,1,
11,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2022-10-24 13:00:02,2022-09-21 15:24:05,131,1.0,1,7,92,,,100,2021-10-04 12:57:04,2021.10.04,23.0,A ranked list of awesome machine learning Rust libraries.,2,7,True,3,
12,best-of-ml-julia,e-tornike/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,1,2,38,,,8,2021-05-10 14:35:56,2021.05.10,3.0,A ranked list of awesome machine learning Julia libraries.,2,5,False,3,
