,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2023-11-16 14:57:49,2023-11-09 18:02:21,436,26.0,2094,383,232,17.0,33.0,14640,2023-11-09 18:02:59,2023.11.09,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,44,23,True,1,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2023-11-16 13:32:08,2023-11-09 14:44:16,299,25.0,222,88,170,4.0,4.0,3225,2023-11-09 14:45:29,2023.04.06,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,12,18,True,1,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2023-11-16 16:24:33,2023-11-10 20:22:49,282,23.0,154,52,170,1.0,2.0,2057,2023-11-09 18:04:11,2023.11.09,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,13,17,True,1,,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2023-11-16 14:20:54,2023-11-02 18:04:00,279,22.0,40,24,166,1.0,5.0,838,2023-11-02 18:04:09,2023.11.02,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7,16,True,1,,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2023-11-16 14:22:16,2023-11-09 14:44:27,282,26.0,69,25,168,1.0,3.0,750,2023-11-09 14:44:58,2023.11.09,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",13,16,True,2,2.0,
5,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22,2023-11-12 21:51:11,2023-11-12 21:51:11,229,35.0,30,11,143,4.0,11.0,536,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,19,15,True,1,5.0,mkdocs/catalog
6,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2023-11-15 19:15:45,2023-11-09 02:39:36,226,23.0,30,15,110,3.0,,155,2023-11-09 02:39:45,2023.11.08,87.0,A ranked list of awesome open-source crypto projects. Updated weekly.,5,15,True,1,3.0,
7,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2023-11-16 15:21:11,2023-11-09 18:03:18,314,24.0,49,12,154,1.0,1.0,519,2023-11-09 18:03:34,2023.11.09,100.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,6,14,True,3,-1.0,
8,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2023-11-13 12:04:51,2021-05-03 18:03:14,111,,104,14,111,9.0,4.0,771,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,,
9,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2023-11-15 18:24:08,2023-11-15 18:24:08,667,89.0,14,7,22,,2.0,243,,,,Ranked list of awesome digital gardens / second brains.,14,12,True,3,3.0,
