,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2023-11-30 16:05:11,2023-11-30 16:05:10,442,27.0,2101,383,234,17.0,33.0,14690,2023-11-30 16:05:19,2023.11.30,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,44,24,True,1,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2023-11-30 16:04:39,2023-11-30 16:04:38,305,27.0,222,87,172,4.0,4.0,3236,2023-11-30 16:04:44,2023.11.30,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,12,19,True,1,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2023-11-30 16:29:34,2023-11-30 16:29:33,288,25.0,152,51,172,1.0,2.0,2068,2023-11-30 16:29:39,2023.11.30,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,13,18,True,1,,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2023-11-30 16:04:50,2023-11-30 16:04:49,285,24.0,40,24,168,1.0,5.0,840,2023-11-30 16:04:55,2023.11.30,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7,17,True,1,,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2023-11-30 16:05:00,2023-11-30 16:04:59,288,28.0,69,25,170,1.0,3.0,752,2023-11-30 16:05:06,2023.11.30,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",13,17,True,2,3.0,
5,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2023-11-29 19:19:57,2023-11-29 19:19:57,232,25.0,32,15,112,3.0,,159,2023-11-29 19:20:04,2023.11.29,90.0,A ranked list of awesome open-source crypto projects. Updated weekly.,5,16,True,1,4.0,
6,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22,2023-11-23 18:42:24,2023-11-23 18:42:23,232,33.0,31,11,146,5.0,11.0,551,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,19,15,True,1,5.0,mkdocs/catalog
7,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2023-11-30 16:05:24,2023-11-30 16:05:23,320,26.0,50,11,156,1.0,1.0,523,2023-11-30 16:05:29,2023.11.30,100.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,6,15,True,3,,
8,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2023-11-27 12:05:58,2021-05-03 18:03:14,111,,105,15,113,9.0,4.0,784,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,,
9,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2023-11-29 18:27:12,2023-11-29 18:26:29,681,89.0,14,7,22,,2.0,250,,,,Ranked list of awesome digital gardens / second brains.,14,12,True,3,3.0,
10,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2023-11-01 09:19:05,2023-08-08 15:01:12,156,,3,10,109,,,188,2023-08-07 11:50:42,2023.08.01,26.0,A ranked list of awesome machine learning Rust libraries.,2,12,True,3,5.0,
11,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,CC-BY-SA-4.0,2022-01-23 23:37:02,2023-11-29 23:17:40,2023-11-29 20:16:30,593,89.0,4,5,687,,,38,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",4,12,True,1,,
12,best-of-ml-julia,e-tornike/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,2,2,38,,,11,2021-05-10 14:35:56,2021.05.10,3.0,A ranked list of awesome machine learning Julia libraries.,2,5,False,3,,
