,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2023-03-09 15:34:53,2023-03-02 18:31:54,355,26.0,1914,363,183,10.0,31.0,12954,2023-03-02 18:32:03,2023.03.02,87.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,36,23,True,1,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2023-03-09 13:48:58,2023-03-02 18:32:40,224,23.0,196,83,129,2.0,4.0,2862,2023-03-02 18:32:47,2023.03.02,81.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,9,18,True,1,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2023-03-09 16:56:42,2023-03-02 18:31:24,209,24.0,141,52,130,,2.0,1828,2023-03-02 18:31:48,2023.03.02,79.0,A ranked list of awesome python libraries for web development. Updated weekly.,10,16,True,1,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2023-03-09 14:40:55,2023-03-02 18:32:26,206,23.0,35,21,127,1.0,5.0,683,2023-03-02 18:32:35,2023.03.02,78.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,5,16,True,1,1.0
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2023-03-09 14:40:45,2023-03-02 18:32:15,206,21.0,56,21,129,,2.0,612,2023-03-02 18:32:22,2023.03.02,84.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",10,15,True,2,
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2023-03-09 15:41:53,2023-03-02 18:31:32,243,23.0,34,8,118,1.0,,397,2023-03-02 18:31:41,2023.03.02,80.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,5,15,True,3,
6,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2023-03-09 10:00:36,2023-03-09 10:00:36,158,39.0,19,10,73,3.0,,97,2023-03-09 10:00:58,2023.03.08,54.0,A ranked list of awesome open-source crypto projects. Updated weekly.,3,13,True,1,
7,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2023-03-06 12:05:58,2021-05-03 18:03:14,111,,78,13,75,7.0,4.0,577,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,
8,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22,2023-03-09 18:04:45,2023-03-02 20:50:55,144,12.0,6,5,65,1.0,2.0,154,2023-03-02 20:51:35,2023.03.02,50.0,A ranked list of awesome MkDocs projects and plugins.,4,12,True,1,2.0
9,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,CC-BY-SA-4.0,2022-01-23 23:37:02,2023-03-08 20:19:34,2023-03-08 20:18:36,328,89.0,3,3,422,,,26,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",4,12,True,1,2.0
